,index,venue,type,start_date_time,title,price,ticket_url
0,0,de_balie,Actualiteit,2023-08-23 19:00:00,De Balie x World Cinema Amsterdam special: Bittersweet Rain,10.0,https://debalie.nl/cinema/de-balie-kijkt-bittersweet-rain/tickets/11829276
1,1,de_balie,Actualiteit,2023-08-23 21:30:00,De Balie x World Cinema Amsterdam special: Critical Zone,10.0,https://debalie.nl/cinema/de-balie-x-wca-critical-zone/tickets/11829345
2,2,de_balie,Actualiteit,2023-08-24 19:00:00,De Balie x World Cinema Amsterdam special: Tótem,10.0,https://debalie.nl/cinema/de-balie-kijkt-totem/tickets/11829291
3,3,de_balie,Actualiteit,2023-08-24 21:15:00,De Balie x World Cinema Amsterdam special: Inshallah a Boy,10.0,https://debalie.nl/cinema/de-balie-x-wca-inshallah-a-boy/tickets/11829346
4,4,de_balie,Actualiteit,2023-08-25 17:00:00,"World Cinema Amsterdam Talk: Revolt, art &#038; feminism in Iran",10.0,https://debalie.nl/programma/wca-talk-revolt-art-feminism-in-iran-25-08-2023/tickets
5,5,de_balie,Actualiteit,2023-08-26 19:00:00,De Balie x World Cinema Amsterdam special: Seven Winters in Tehran,10.0,https://debalie.nl/cinema/de-balie-kijkt-seven-winters-in-tehran/tickets/11829281
6,6,de_balie,Actualiteit,2023-08-26 21:30:00,De Balie x World Cinema Amsterdam special: Sira,10.0,https://debalie.nl/cinema/de-balie-kijkt-sira/tickets/11829286
7,7,de_balie,Actualiteit,2023-09-01 19:00:00,De Balie Kijkt: Present Are the Absent,10.0,https://debalie.nl/cinema/de-balie-kijkt-present-are-the-absent/tickets/11829112
8,8,de_balie,Actualiteit,2023-09-03 16:00:00,De Balie Kijkt: Inside Aut,10.0,https://debalie.nl/cinema/de-balie-kijkt-inside-aut/tickets/11829196
9,9,de_balie,Actualiteit,2023-09-04 20:00:00,De Republiek,10.0,https://debalie.nl/programma/de-republiek-70-04-09-2023/tickets
10,10,de_balie,Actualiteit,2023-09-06 20:00:00,Hoog Spel: de bewogen politieke geschiedenis van Shell,10.0,https://debalie.nl/programma/hoog-spel-de-bewogen-politieke-geschiedenis-van-shell-06-09-2023/tickets
11,11,de_balie,Actualiteit,2023-09-07 19:30:00,De Balie Kijkt: It Is True But Not Here,10.0,https://debalie.nl/cinema/de-balie-kijkt-it-is-true-but-not-here/tickets/11829210
12,12,de_balie,Actualiteit,2023-09-08 17:00:00,Plein Publiek: Jessica Gorter,10.0,https://debalie.nl/programma/plein-publiek-jessica-gorter-08-09-2023/tickets
13,13,de_balie,Actualiteit,2023-09-09 20:00:00,Sahra Mani on the situation in Afghanistan,10.0,https://debalie.nl/programma/sahra-mani-on-the-situation-in-afghanistan-09-09-2023/tickets
14,14,de_balie,Actualiteit,2023-09-10 20:00:00,Kritische mening of opzettelijk nepnieuws?,10.0,https://debalie.nl/programma/kritische-mening-of-opzettelijk-nepnieuws-10-09-2023/tickets
15,15,de_balie,Actualiteit,2023-09-11 20:00:00,De Balie Kijkt: The American Dream,10.0,https://debalie.nl/cinema/de-balie-kijkt-the-american-dream/tickets/11829111
16,16,de_balie,Actualiteit,2023-09-15 17:00:00,Plein Publiek: Marc Daniel van Biemen,10.0,https://debalie.nl/programma/plein-publiek-marc-daniel-van-biemen-15-09-2023/tickets
17,17,de_balie,Actualiteit,2023-09-15 20:00:00,De danser en de monnik – Een avond over Cees Nooteboom,10.0,https://debalie.nl/programma/de-danser-en-de-monnik-een-avond-over-cees-nooteboom-15-09-2023/tickets
18,18,de_balie,Actualiteit,2023-09-16 20:00:00,Inside Russia: Traitors and Heroes,10.0,https://debalie.nl/programma/inside-russia-traitors-and-heroes-16-09-2023/tickets
19,19,de_balie,Actualiteit,2023-09-17 19:00:00,De Balie Kijkt: If Yes Okay + Concert Dick Verdult,10.0,https://debalie.nl/cinema/de-balie-kijkt-if-yes-okay-concert-dick-verdult/tickets/11829211
20,20,de_balie,Actualiteit,2023-09-18 19:30:00,De Koplopers: Voedsel voor de metropool,10.0,https://debalie.nl/programma/de-koplopers-voedsel-voor-de-metropool-18-09-2023/tickets
21,21,de_balie,Actualiteit,2023-09-19 00:00:00,Het Prinsjesdagontbijt,10.0,https://debalie.nl/programma/het-prinsjesdagontbijt-2-19-09-2023/tickets
22,22,de_balie,Actualiteit,2023-09-20 19:30:00,Chinese beïnvloeding: reden tot zorgen of paniekzaaierij?,10.0,https://debalie.nl/programma/chinese-beinvloeding-reden-tot-zorgen-of-paniekzaaierij-20-09-2023/tickets
23,23,de_balie,Actualiteit,2023-09-20 20:00:00,The Freedom Lecture: Justyna Wydrzyńska,10.0,https://debalie.nl/programma/the-freedom-lecture-justyna-wydrzynska-20-09-2023/tickets
24,24,de_balie,Actualiteit,2023-09-22 17:00:00,Plein Publiek: Lucky Fonz III,10.0,https://debalie.nl/programma/plein-publiek-lucky-fonz-iii-22-09-2023/tickets
25,25,de_balie,Actualiteit,2023-09-22 20:00:00,Tomorrow sex will be good again with Katherine Angel,10.0,https://debalie.nl/programma/tomorrow-sex-will-be-good-again-with-katherine-angel-22-09-2023/tickets
26,26,de_balie,Actualiteit,2023-09-22 20:30:00,Achter het Libretto: Mahagonny,10.0,https://debalie.nl/programma/achter-het-libretto-mahagonny-22-09-2023/tickets
